dataset_version,label_mode,decimation_mode,scenario,model,anchor_strategy,inference_policy,eta,gamma_mode,seeds,baseline_type,rmse_pct,rmse_std,maxe_pct,rmse_n20,rmse_40,pvr_disch_eps0,source
v4_legacy,legacy,first_sample,scenario_A,vanilla_lstm,,windowed,1.5,nominal,42(v4),frozen_v4,13.3712,,51.0242,,,49.9694,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_A,hard_coulomb_lstm,,windowed,1.5,nominal,42(v4),frozen_v4,12.7107,,55.1126,17.8587,,0.0,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_A,hard_coulomb_tcn,,windowed,1.5,nominal,42(v4),frozen_v4,11.4592,,46.7303,,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_A,null_ocv_coulomb_ocv25_qnom,,windowed,1.5,nominal,42(v4),frozen_v4,13.2436,,86.9666,,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_A,vanilla_posthoc_clamp,,windowed,1.5,nominal,42(v4),frozen_v4,25.5561,,,,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_A,hc_lstm_recursive_infer,,windowed,1.5,nominal,42(v4),frozen_v4,9.2251,,31.1895,6.6815,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_A,hc_lstm_oracle_anchor_ref,,windowed,1.5,nominal,42(v4),frozen_v4,0.5379,,5.0462,0.4964,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_A,ekf_ocv_rint_best,,windowed,1.5,nominal,42(v4),frozen_v4,13.0002,,99.048,,,30.2887,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_B,vanilla_lstm,,windowed,1.5,nominal,42(v4),frozen_v4,7.2806,,,,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_B,hard_coulomb_lstm,,windowed,1.5,nominal,42(v4),frozen_v4,8.5667,,34.9985,,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_B,null_ocv_coulomb_ocv25_qnom,,windowed,1.5,nominal,42(v4),frozen_v4,7.5572,,,,,,legacy_freeze_manifest.json
v4_legacy,legacy,first_sample,scenario_B,ekf_ocv_rint_best,,windowed,1.5,nominal,42(v4),frozen_v4,7.0477,,,,,,legacy_freeze_manifest.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,windowed,1.5,nominal,1-5,,10.874,0.1904,46.4673,16.3274,4.579,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_tcn,first,windowed,1.5,nominal,1-5,,11.1181,1.7108,45.4441,16.7679,4.7191,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_A,hc_anchor_last,last,windowed,1.5,nominal,1-5,,9.993,1.0897,36.4976,15.0454,5.2951,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_A,hc_anchor_pooled,pooled,windowed,1.5,nominal,1-5,,10.7501,0.9781,40.4926,16.4529,4.8341,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_A,vanilla_lstm,n/a,windowed,1.5,nominal,1-5,,11.3474,0.1798,47.4796,17.2103,4.838,45.8981,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_B,hard_coulomb_lstm,first,windowed,1.5,nominal,1-5,,10.6291,0.5982,35.5544,7.7697,7.4564,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_B,hard_coulomb_tcn,first,windowed,1.5,nominal,1-5,,7.9132,1.1599,40.3538,10.6768,3.6263,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_B,hc_anchor_last,last,windowed,1.5,nominal,1-5,,4.7432,0.3141,34.4872,8.053,2.35,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_B,hc_anchor_pooled,pooled,windowed,1.5,nominal,1-5,,4.9279,0.8423,33.9834,7.4634,2.5705,0.0,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_B,vanilla_lstm,n/a,windowed,1.5,nominal,1-5,,6.1997,0.2718,50.8375,8.6908,3.4452,37.2987,multiseed/seed_level_results.csv
v5c,ohmic_corrected,mean_per_second,scenario_A,null[ocv25_qnom],,windowed,1.5,nominal,n/a,deterministic,13.0297,,60.9376,19.5747,3.3659,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_A,null[ocv25_qtemp],,windowed,1.5,nominal,n/a,deterministic,13.143,,60.1359,19.7392,3.4054,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_A,null[oracle_qtemp],,windowed,1.5,nominal,n/a,deterministic,0.0257,,0.2334,0.0263,0.0239,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_A,vanilla+posthoc_clamp,,windowed,1.5,nominal,42,deterministic,25.0261,,46.8818,23.1923,26.7453,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,null[ocv25_qnom],,windowed,1.5,nominal,n/a,deterministic,7.5278,,94.7159,14.319,2.6213,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,null[ocv25_qtemp],,windowed,1.5,nominal,n/a,deterministic,7.5757,,94.6823,14.4014,2.6524,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,null[oracle_qtemp],,windowed,1.5,nominal,n/a,deterministic,0.0213,,0.422,0.0148,0.021,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,vanilla+posthoc_clamp,,windowed,1.5,nominal,42,deterministic,30.0747,,50.638,20.9058,27.0318,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,windowed_independent,1.5,nominal,42,,11.0486,,46.1873,16.7544,4.2214,0.0,recursive_inference/recursive_policy_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,carried_anchor,1.5,nominal,42,,11.7799,,29.6282,11.1109,8.5837,0.0,recursive_inference/recursive_policy_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,temperature_gated,1.5,nominal,42,,10.9822,,29.6282,11.1109,4.2214,0.0,recursive_inference/recursive_policy_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,load_gated,1.5,nominal,42,,8.409,,27.9822,9.9521,5.3887,0.0,recursive_inference/recursive_policy_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,rest_gated_reanchor,1.5,nominal,42,,11.316,,29.6282,11.1109,6.381,0.0,recursive_inference/recursive_policy_results.json
